"","date","lag1","lag2","lag3","lag4"
"1","7/1/2000",0.369402844602674,0.387018838079887,0.418968124956201,0.359388162785806
"2","8/1/2000",0.00205446933902351,-0.029253452079579,-0.114299231184071,0.358883870464794
"3","9/1/2000",0.494632303574957,0.453979656589269,0.515612045865536,0.364156864053936
"4","10/1/2000",0.15125218823812,0.112974763289359,0.176247569948534,0.361673660339385
"5","11/1/2000",0.24796899164268,0.24378389911046,0.246964181724484,0.361787652263926
"6","12/1/2000",0.287738766953759,0.286801974738408,0.267224787259387,0.363217452850661
"7","1/1/2001",0.548487444226893,0.519685207590468,0.499472311781148,0.364837541825676
"8","2/1/2001",0.242545119970912,0.235200020469362,0.263102443137495,0.363470423193824
"9","3/1/2001",0.0802373733982386,0.0915600989676396,0.0746647752540527,0.364099367751798
"10","4/1/2001",0.223337811550553,0.208448085643703,0.178456758116959,0.36487063297562
"11","5/1/2001",0.496691220955285,0.48788037186666,0.507765915670743,0.364032515342732
"12","6/1/2001",0.231928266536864,0.204188958928092,0.261044477044826,0.362588188862925
"13","7/1/2001",-0.140944562580827,-0.140257354428216,-0.195810347432585,0.359053622715588
"14","8/1/2001",0.108940374615779,0.0590916171001482,0.0507782435436297,0.360687200456578
"15","9/1/2001",0.316225463054043,0.410946578287224,0.399342355527467,0.359924149345496
"16","10/1/2001",-0.255835256558313,-0.249387814421777,-0.328809604395082,0.357080872780195
"17","11/1/2001",0.149687875222861,0.114415666944413,0.196421283092272,0.357407919862145
"18","12/1/2001",0.0659444023084258,0.0195611571233355,0.112856815067218,0.352567534611417
"19","1/1/2002",0.338974093033373,0.36609753811722,0.275370701049032,0.351939449243112
"20","2/1/2002",0.141792126607068,0.157670025163304,0.215700140217122,0.352297472885978
"21","3/1/2002",0.433992269156282,0.424292494170572,0.48687368047749,0.351456630227336
"22","4/1/2002",0.351259747360321,0.450166983530906,0.419930020631257,0.352938778608591
"23","5/1/2002",0.0926764751875603,0.0498484789813134,0.0588343534084858,0.351923092950929
"24","6/1/2002",0.122111593596386,0.0659289550623073,0.0370145383904602,0.352543826631122
"25","7/1/2002",0.202980523134349,0.182282152617323,0.185424436392304,0.353443712433649
"26","8/1/2002",0.186818636387009,0.201864267207411,0.163045328383232,0.353268719105184
"27","9/1/2002",0.254866352784894,0.314863230581134,0.313537052641838,0.353802194482322
"28","10/1/2002",0.231862558351403,0.244217691578332,0.295517616988214,0.355532499989407
"29","11/1/2002",0.215209067559374,0.177860773730856,0.185236355309026,0.355241234435425
"30","12/1/2002",0.172706622493621,0.20065924308249,0.213068825789987,0.356389218821982
"31","1/1/2003",0.450054040713796,0.466519188558256,0.537562343046592,0.358127693295244
"32","2/1/2003",0.548440009308778,0.566056298146795,0.485586234014576,0.358938979289085
"33","3/1/2003",0.123454183038078,0.186502645126675,0.191682896374814,0.357031291290152
"34","4/1/2003",-0.450312077784722,-0.458252991651281,-0.447040128288486,0.354964383977759
"35","5/1/2003",-0.0896844904477911,-0.142885541173185,-0.139469690151841,0.35592729994161
"36","6/1/2003",0.248438797056432,0.24372114974249,0.142291264675155,0.357154383362216
"37","7/1/2003",0.361079256426909,0.435332451504243,0.449612907109703,0.356572161144025
"38","8/1/2003",0.538076026740997,0.531860609278086,0.552921671239459,0.357864280725283
"39","9/1/2003",0.425564953295059,0.439380208766669,0.41329157454768,0.357611868746348
"40","10/1/2003",-0.116070630074946,-0.141776950720721,-0.0514526476865038,0.356268505063538
